iter	Logloss
0	0.6646675647
1	0.6410055997
2	0.6165405199
3	0.6004722104
4	0.5847589183
5	0.5684286304
6	0.5551884861
7	0.5418710784
8	0.532752093
9	0.5232903285
10	0.5129195796
11	0.5037141588
12	0.4950272711
13	0.4863358113
14	0.4794871872
15	0.4735772835
16	0.4656915381
17	0.4603044129
18	0.4540606755
19	0.4483345968
20	0.442325853
21	0.4374419184
22	0.4343748599
23	0.4301637231
24	0.4240284452
25	0.4187556876
26	0.41508112
27	0.4114455476
28	0.4084498891
29	0.4068149479
30	0.4008458654
31	0.3940596824
32	0.3921664338
33	0.3879097513
34	0.384130348
35	0.3822706111
36	0.3764717378
37	0.3750875356
38	0.372497489
39	0.3694364942
40	0.3667827994
41	0.3653247844
42	0.3622565955
43	0.3579769511
44	0.3559561423
45	0.3517788349
46	0.35026782
47	0.346334068
48	0.3439559698
49	0.3422636729
50	0.341280682
51	0.337249991
52	0.3351763766
53	0.3338863909
54	0.3332154579
55	0.3313243192
56	0.3304744865
57	0.3295986222
58	0.3285209894
59	0.3267891663
60	0.3248017685
61	0.3242706951
62	0.3228402837
63	0.3223828217
64	0.3216124653
65	0.3210717093
66	0.3202143463
67	0.3180875266
68	0.3174043405
69	0.3168940473
70	0.3162601642
71	0.3155492736
72	0.3143684515
73	0.3136537594
74	0.3128627257
75	0.3123002848
76	0.3119575065
77	0.3087421718
78	0.3083510114
79	0.3074316112
80	0.3067857352
81	0.3056203718
82	0.3053268217
83	0.303771203
84	0.3029313785
85	0.3008565107
86	0.2998254223
87	0.2995054914
88	0.2985770923
89	0.2982731268
90	0.2976620388
91	0.2970509275
92	0.2962771703
93	0.2946479702
94	0.2941575917
95	0.2937470485
96	0.2934482586
97	0.2929636956
98	0.2924061393
99	0.2919567243
100	0.2915654264
101	0.2913558706
102	0.2904646018
103	0.2901013613
104	0.2898206113
105	0.2884589864
106	0.2873455678
107	0.2868445343
108	0.2857953864
109	0.2848757798
110	0.2846864495
111	0.2844557632
112	0.2832682399
113	0.2830989232
114	0.2829852744
115	0.2823952953
116	0.2818082489
117	0.2811929554
118	0.2802726478
119	0.2801373531
120	0.2796126708
121	0.2794524284
122	0.2792835276
123	0.279147293
124	0.2786497301
125	0.2784529697
126	0.2780418397
127	0.2779125944
128	0.2771860285
129	0.2759639954
130	0.274909375
131	0.2748238871
132	0.2747019925
133	0.2744647738
134	0.2740845181
135	0.2737155057
136	0.2733068953
137	0.2728381941
138	0.2722232937
139	0.2718584995
140	0.2716558447
141	0.2713904086
142	0.2711884572
143	0.2709506891
144	0.2708019503
145	0.27024386
146	0.2698472826
147	0.2694005951
148	0.2689619858
149	0.2688175962
150	0.2685672614
151	0.2683287895
152	0.2679981262
153	0.2675650576
154	0.2673541719
155	0.2671382073
156	0.2670233055
157	0.2666791667
158	0.2665133698
159	0.2663267242
160	0.2661035823
161	0.2659130011
162	0.2658010071
163	0.265469822
164	0.2654615013
165	0.2653626509
166	0.2652906131
167	0.2651888244
168	0.2648266802
169	0.2647508439
170	0.2646958474
171	0.2638819653
172	0.2637568866
173	0.2636410381
174	0.2631180693
175	0.2629629314
176	0.2628913042
177	0.2627459659
178	0.2626717973
179	0.2625387403
180	0.2624835522
181	0.2624024282
182	0.2621003535
183	0.2619972337
184	0.2619086481
185	0.2617650202
186	0.2615164343
187	0.26145478
188	0.2613550265
189	0.2609690491
190	0.2607323555
191	0.2605249543
192	0.2604045179
193	0.2603535178
194	0.2601905454
195	0.2597595777
196	0.2596874967
197	0.2594871215
198	0.2594286136
199	0.2592788676
200	0.2591241086
201	0.2589370564
202	0.2587348272
203	0.2585987176
204	0.2584850395
205	0.2584279232
206	0.2581162288
207	0.2580031453
208	0.2579181813
209	0.2577862556
210	0.2574310695
211	0.2573231912
212	0.2572333873
213	0.2570594152
214	0.2570186895
215	0.2566973435
216	0.2566080298
217	0.2565057693
218	0.2563709813
219	0.2562654012
220	0.2561767555
221	0.2558271581
