iter	Passed	Remaining
0	50	20108
1	94	18812
2	138	18387
3	181	17990
4	224	17760
5	268	17658
6	313	17575
7	355	17417
8	397	17267
9	441	17230
10	484	17142
11	527	17062
12	570	16975
13	613	16923
14	656	16854
15	699	16776
16	742	16731
17	784	16656
18	826	16575
19	870	16544
20	915	16523
21	958	16462
22	1000	16401
23	1043	16351
24	1089	16338
25	1133	16297
26	1175	16233
27	1217	16171
28	1259	16118
29	1300	16042
30	1344	16002
31	1390	15992
32	1432	15928
33	1478	15915
34	1521	15863
35	1563	15809
36	1608	15779
37	1649	15709
38	1695	15697
39	1740	15660
40	1783	15614
41	1825	15560
42	1868	15515
43	1913	15480
44	1955	15427
45	2001	15403
46	2042	15343
47	2088	15314
48	2131	15267
49	2172	15209
50	2214	15157
51	2257	15106
52	2300	15058
53	2343	15016
54	2386	14968
55	2429	14922
56	2471	14875
57	2513	14820
58	2557	14779
59	2599	14732
60	2644	14695
61	2685	14642
62	2732	14614
63	2773	14559
64	2814	14505
65	2857	14458
66	2900	14414
67	2946	14386
68	2988	14335
69	3032	14296
70	3074	14245
71	3116	14197
72	3159	14154
73	3200	14100
74	3244	14058
75	3286	14008
76	3328	13961
77	3373	13926
78	3415	13877
79	3455	13822
80	3497	13772
81	3541	13732
82	3583	13686
83	3626	13643
84	3668	13595
85	3711	13549
86	3754	13508
87	3796	13462
88	3839	13417
89	3881	13370
90	3929	13341
91	3972	13298
92	4014	13251
93	4058	13212
94	4101	13169
95	4145	13127
96	4186	13078
97	4228	13030
98	4271	12985
99	4312	12938
100	4356	12895
101	4397	12847
102	4441	12807
103	4483	12759
104	4523	12710
105	4568	12670
106	4611	12628
107	4655	12586
108	4697	12540
109	4740	12496
110	4781	12450
111	4823	12402
112	4867	12362
113	4908	12315
114	4951	12272
115	4995	12230
116	5040	12191
117	5082	12145
118	5125	12104
119	5168	12059
120	5209	12013
121	5251	11966
122	5292	11918
123	5334	11873
124	5378	11832
125	5421	11788
126	5463	11744
127	5505	11698
128	5548	11656
129	5596	11622
130	5641	11584
131	5684	11541
132	5727	11499
133	5768	11451
134	5810	11406
135	5852	11360
136	5894	11314
137	5938	11274
138	5980	11230
139	6022	11184
140	6064	11139
141	6108	11098
142	6150	11053
143	6192	11008
144	6233	10962
145	6276	10918
146	6317	10873
147	6363	10835
148	6406	10792
149	6447	10746
150	6490	10702
151	6534	10661
152	6576	10616
153	6620	10575
154	6664	10533
155	6707	10490
156	6749	10446
157	6791	10401
158	6832	10356
159	6875	10312
160	6917	10268
161	6958	10223
162	7001	10180
163	7046	10140
164	7075	10076
165	7117	10032
166	7160	9991
167	7203	9947
168	7249	9908
169	7293	9867
170	7338	9827
171	7385	9790
172	7426	9745
173	7469	9702
174	7516	9664
175	7558	9619
176	7601	9577
177	7644	9534
178	7688	9491
179	7729	9447
180	7771	9403
181	7814	9360
182	7858	9318
183	7900	9274
184	7943	9231
185	7985	9187
186	8026	9142
187	8069	9099
188	8112	9056
189	8154	9013
190	8196	8969
191	8240	8927
192	8282	8883
193	8324	8839
194	8367	8796
195	8409	8753
196	8451	8708
197	8492	8664
198	8533	8618
199	8575	8575
200	8617	8531
201	8660	8489
202	8703	8446
203	8745	8402
204	8786	8357
205	8827	8313
206	8870	8270
207	8911	8225
208	8951	8180
209	8994	8137
210	9041	8098
211	9082	8053
212	9123	8009
213	9167	7967
214	9210	7924
